entry_date,exit_date,pnl
2018-10-18,2018-10-18,-752.1947556771097
2018-10-19,2018-10-19,-752.3767017422922
2018-11-15,2018-11-15,-751.5003398679521
2018-11-20,2018-11-20,-751.7119888775817
2018-11-30,2018-11-30,3138.449389351063
2018-12-07,2018-12-07,-224.08442243472692
2018-12-13,2018-12-13,-751.0
2019-01-31,2019-01-31,590.7403787008213
2019-03-22,2019-03-22,1045.441305542283
2019-03-25,2019-03-25,1870.6329181551432
2019-04-18,2019-04-18,-9.112457639567001
2019-04-24,2019-04-24,3370.3205522968674
2019-05-07,2019-05-07,-751.3740244592293
2019-05-13,2019-05-13,-751.7411177981576
2019-05-13,2019-05-13,-751.3933481647625
2019-06-14,2019-06-14,1194.3020113956356
2019-06-25,2019-06-25,2368.656713139254
2019-07-16,2019-07-16,2032.151709669316
2019-07-17,2019-07-17,-756.0652718527809
2019-07-30,2019-07-30,-476.6650813002543
2019-08-08,2019-08-08,-751.0
2019-08-22,2019-08-22,-227.3876412355413
2019-08-23,2019-08-23,-35.205533323088815
2019-09-06,2019-09-06,-194.12157106148553
2019-09-10,2019-09-10,-752.0502711353165
2019-09-26,2019-09-26,1522.4458945500317
2019-10-03,2019-10-03,-753.3278753026115
2019-10-08,2019-10-08,718.3924485948701
2019-10-23,2019-10-23,-21.04292131764581
2019-10-29,2019-10-29,-752.9812547407748
2019-11-05,2019-11-05,4950.1741801199805
2019-11-14,2019-11-14,1039.0521703657887
2019-12-02,2019-12-02,-256.53078848390953
2019-12-02,2019-12-02,-753.0229122615183
2019-12-18,2019-12-18,-103.7077938496917
2019-12-26,2019-12-26,-142.2313353956282
2020-01-09,2020-01-09,-101.32143855736227
2020-01-21,2020-01-21,1087.9502090562837
2020-01-31,2020-01-31,-751.0
2020-02-03,2020-02-03,-752.6338116964899
2020-02-18,2020-02-18,-40.366466905736836
2020-02-24,2020-02-24,-751.7608227620436
2020-02-24,2020-02-24,-751.968704264299
2020-03-05,2020-03-05,-751.0
2020-03-06,2020-03-06,-752.1611487290962
2020-06-11,2020-06-11,-752.0684864934136
2020-07-10,2020-07-10,1306.5902351697432
2020-07-10,2020-07-10,3060.7792621152976
2020-08-24,2020-08-24,-344.28856926008905
2020-08-24,2020-08-24,-440.59888921908964
2020-09-04,2020-09-04,-755.8401089933474
2020-09-08,2020-09-08,-381.6835494409991
2020-10-26,2020-10-26,1089.7127256113533
2020-10-26,2020-10-26,-86.73289259091628
2020-10-28,2020-10-28,-753.1094225025527
2020-11-09,2020-11-09,1203.5169193332033
2020-11-25,2020-11-25,2656.01835323595
2020-12-08,2020-12-08,494.8230062694654
2020-12-22,2020-12-22,-29.694617797376164
2021-01-04,2021-01-04,1860.5510912304464
2021-01-15,2021-01-15,1372.8427880281645
2021-01-22,2021-01-22,1560.2744507964728
2021-01-27,2021-01-27,-753.6641064555137
2021-01-29,2021-01-29,2156.68733578737
2021-02-22,2021-02-22,1191.6930627996305
2021-03-01,2021-03-01,3322.326183671281
2021-03-04,2021-03-04,-753.1579777930667
2021-03-05,2021-03-05,-754.0019623005358
2021-04-20,2021-04-20,-348.12501406435666
2021-04-30,2021-04-30,1097.0552840154216
2021-05-13,2021-05-13,2185.5017234428096
2021-05-27,2021-05-27,1353.4567523837864
2021-06-11,2021-06-11,1541.675571373352
2021-06-18,2021-06-18,-755.3903549391957
2021-06-29,2021-06-29,1815.8224917175564
2021-07-06,2021-07-06,-264.4730336958664
2021-07-28,2021-07-28,414.12681282597254
2021-08-03,2021-08-03,681.376689271236
2021-08-05,2021-08-05,-751.18177631095
2021-08-17,2021-08-17,-753.3558190825258
2021-09-01,2021-09-01,-383.9619542595994
2021-09-02,2021-09-02,1146.96140514287
2021-09-07,2021-09-07,-751.4818707745457
2021-09-10,2021-09-10,-756.037629382684
2021-09-20,2021-09-20,-751.254294066639
2021-09-20,2021-09-20,-755.6887651250585
2021-10-13,2021-10-13,-751.2156088598748
2021-10-27,2021-10-27,-294.4181850944151
2021-10-29,2021-10-29,4056.2808548384155
2021-11-04,2021-11-04,-751.1739047107964
2021-11-18,2021-11-18,-303.6704149732987
2021-11-23,2021-11-23,-189.3959158901854
2021-11-30,2021-11-30,-752.1562415931544
2021-12-02,2021-12-02,-751.0
2021-12-16,2021-12-16,-117.07267120231414
2021-12-30,2021-12-30,1318.4194047435685
2022-01-05,2022-01-05,-183.82407699623386
2022-01-05,2022-01-05,-751.0
2022-02-11,2022-02-11,-753.0812027358509
2022-02-14,2022-02-14,-752.0619537315449
2022-04-21,2022-04-21,-752.0142431212338
2022-04-22,2022-04-22,-217.96968279775953
2022-05-03,2022-05-03,-751.9315157476732
2022-06-16,2022-06-16,-751.9338492048772
2022-07-14,2022-07-14,-751.174187465645
2022-07-14,2022-07-14,-751.0
2022-08-04,2022-08-04,-752.0663414401625
2022-08-25,2022-08-25,-183.71334769240434
2022-08-29,2022-08-29,-752.1732622611643
2022-09-12,2022-09-12,-751.6627683644429
2022-09-15,2022-09-15,-751.0
