Trade #,Type,Date/Time,Signal,Price USD,Position size (qty),Net P&L USD,Net P&L %,Cumulative P&L USD,Cumulative P&L %
1,Entry long,2018-10-18 09:30,buy,104.08,100,,,,
1,Exit long,2018-10-18 16:00,close,96.1,100,(752.19),-0.75,(752.19),-0.75
2,Entry long,2018-10-19 09:30,buy,95.01,100,,,,
2,Exit long,2018-10-19 16:00,close,93.72,100,(752.38),-0.75,"(1,504.57)",-1.5
3,Entry long,2018-11-15 09:30,buy,89.93,100,,,,
3,Exit long,2018-11-15 16:00,close,89.3,100,(751.50),-0.75,"(2,256.07)",-2.26
4,Entry long,2018-11-20 09:30,buy,95.23,100,,,,
4,Exit long,2018-11-20 16:00,close,95.88,100,(751.71),-0.75,"(3,007.78)",-3.01
5,Entry long,2018-11-30 09:30,buy,95.34,100,,,,
5,Exit long,2018-11-30 16:00,close,93.43,100,"3,138.45",3.14,130.67,0.13
6,Entry long,2018-12-07 09:30,buy,92.7,100,,,,
6,Exit long,2018-12-07 16:00,close,94.04,100,(224.08),-0.22,(93.41),-0.09
7,Entry short,2018-12-13 09:30,buy,95.84,100,,,,
7,Exit short,2018-12-13 16:00,close,95.27,100,(751.00),-0.75,(844.41),-0.84
8,Entry long,2019-01-31 09:30,buy,98.22,100,,,,
8,Exit long,2019-01-31 16:00,close,99.83,100,590.74,0.59,(253.67),-0.25
9,Entry long,2019-03-22 09:30,buy,99.46,100,,,,
9,Exit long,2019-03-22 16:00,close,101.07,100,"1,045.44",1.05,791.77,0.79
10,Entry long,2019-03-25 09:30,buy,100.52,100,,,,
10,Exit long,2019-03-25 16:00,close,99.79,100,"1,870.63",1.87,"2,662.40",2.66
11,Entry long,2019-04-18 09:30,buy,98.02,100,,,,
11,Exit long,2019-04-18 16:00,close,97.16,100,(9.11),-0.01,"2,653.29",2.65
12,Entry short,2019-04-24 09:30,buy,98.29,100,,,,
12,Exit short,2019-04-24 16:00,close,98.56,100,"3,370.32",3.37,"6,023.61",6.02
13,Entry short,2019-05-07 09:30,buy,92.99,100,,,,
13,Exit short,2019-05-07 16:00,close,95.84,100,(751.37),-0.75,"5,272.24",5.27
14,Entry long,2019-05-13 09:30,buy,92.64,100,,,,
14,Exit long,2019-05-13 16:00,close,93.41,100,(751.74),-0.75,"4,520.50",4.52
15,Entry long,2019-05-13 09:30,buy,92.58,100,,,,
15,Exit long,2019-05-13 16:00,close,89.59,100,(751.39),-0.75,"3,769.11",3.77
16,Entry long,2019-06-14 09:30,buy,89.5,100,,,,
16,Exit long,2019-06-14 16:00,close,93.27,100,"1,194.30",1.19,"4,963.41",4.96
17,Entry short,2019-06-25 09:30,buy,93.63,100,,,,
17,Exit short,2019-06-25 16:00,close,96.75,100,"2,368.66",2.37,"7,332.07",7.33
18,Entry long,2019-07-16 09:30,buy,94.96,100,,,,
18,Exit long,2019-07-16 16:00,close,96.62,100,"2,032.15",2.03,"9,364.22",9.36
19,Entry long,2019-07-17 09:30,buy,96.2,100,,,,
19,Exit long,2019-07-17 16:00,close,93.94,100,(756.07),-0.76,"8,608.15",8.61
20,Entry short,2019-07-30 09:30,buy,89.25,100,,,,
20,Exit short,2019-07-30 16:00,close,91.1,100,(476.67),-0.48,"8,131.48",8.13
21,Entry long,2019-08-08 09:30,buy,88.11,100,,,,
21,Exit long,2019-08-08 16:00,close,88.27,100,(751.00),-0.75,"7,380.48",7.38
22,Entry long,2019-08-22 09:30,buy,89.61,100,,,,
22,Exit long,2019-08-22 16:00,close,84.14,100,(227.39),-0.23,"7,153.09",7.15
23,Entry long,2019-08-23 09:30,buy,85.33,100,,,,
23,Exit long,2019-08-23 16:00,close,88.29,100,(35.21),-0.04,"7,117.88",7.12
24,Entry long,2019-09-06 09:30,buy,86.51,100,,,,
24,Exit long,2019-09-06 16:00,close,80.91,100,(194.12),-0.19,"6,923.76",6.92
25,Entry long,2019-09-10 09:30,buy,81.44,100,,,,
25,Exit long,2019-09-10 16:00,close,79.95,100,(752.05),-0.75,"6,171.71",6.17
26,Entry short,2019-09-26 09:30,buy,78.05,100,,,,
